 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Período:Fev/2020-Mar/2021
"Unidade da Federação";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"24 Rio Grande do Norte";21644473,35;22438442,72;18744943,81;19454054,00;21476468,96;26337808,77;27579658,62;27721340,38;26048003,33;24737052,09;23846816,35;28044464,51;26317613,74;23306498,68;337697639,31
"25 Paraíba";17591547,33;17844195,52;16273867,55;14997248,91;17441299,56;27294311,05;23288213,79;19480481,07;19988426,94;18418075,59;18099514,43;19524543,63;21302722,77;25750897,89;277295346,03
"26 Pernambuco";64822616,22;66221727,51;49241430,42;58988241,41;64301576,28;74914677,43;77232881,01;71715677,42;66555628,25;78904176,21;70978052,15;83846222,44;75562664,69;83870992,73;987156564,17
"27 Alagoas";15857344,98;16014260,42;15057213,01;14411431,27;15406872,52;18453860,49;19995280,39;18185986,17;18871513,02;18597375,56;17805273,37;17543184,88;18526929,38;22118639,05;246845164,51
"28 Sergipe";9325631,63;8093465,51;8589154,91;8026929,31;8057935,10;10313262,56;11404646,48;10741986,60;12278300,58;12264609,05;11454427,82;12060864,70;13003816,54;13321494,41;148936525,20
"29 Bahia";70076183,91;73156459,75;62673156,89;64075440,82;69686505,66;84204991,86;83478081,57;80540324,01;81250834,02;86257814,00;85871122,17;79961693,17;81992571,15;98746333,07;1101971512,05
"31 Minas Gerais";150237121,46;142897333,08;133416702,94;133514800,21;139943759,22;165759955,94;171048093,95;175439696,53;178279152,74;175253226,91;172509435,62;174722161,98;177270694,34;200471045,07;2290763179,99
"32 Espírito Santo";26361545,85;26637385,72;25322623,29;28976583,86;29041781,10;33474963,98;32364742,01;38569356,14;35748380,19;32030401,25;33674687,78;39642483,39;40243896,20;45490499,45;467579330,21
"33 Rio de Janeiro";76116203,22;77004637,47;71404623,67;85123662,73;91735358,99;99331352,01;96339615,99;88305239,94;86995649,35;86776500,97;90416725,95;94179674,42;85583557,95;106837295,81;1236150098,47
"35 São Paulo";288872273,89;297359679,70;251331659,00;272493373,35;306768344,30;367648996,72;349900969,68;354117254,42;345733068,79;335084865,66;330489045,98;355149525,60;348827130,99;392946147,42;4596722335,50
"41 Paraná";127010218,52;117317015,92;94604541,30;107506194,76;96981983,22;109720663,59;129529222,48;122702263,26;129647873,97;126859051,02;120037066,76;122122779,12;132622112,72;140264608,52;1676925595,16
"42 Santa Catarina";63695794,11;61835940,53;51632371,91;55188294,77;57897436,61;61267297,89;65467585,93;71781494,82;69414431,71;68460616,55;70333079,37;71970474,56;74337524,03;81376630,57;924658973,36
"43 Rio Grande do Sul";91437940,91;102876132,83;83000318,02;82381774,95;86092502,24;100579287,65;102609965,59;104401019,54;117458292,46;108853890,98;111760506,80;119992419,94;111797400,70;130155185,16;1453396637,77
"50 Mato Grosso do Sul";19542439,88;19032785,73;17410262,53;17913161,92;17363192,43;18858844,44;19877080,68;19247894,51;19497210,85;22023126,25;19629591,55;21693311,15;24337295,63;25168195,34;281594392,89
"51 Mato Grosso";15066106,66;14906973,08;12563655,61;13632848,78;13215428,53;16834650,98;19704915,36;20746227,60;22727405,20;20506039,58;19583803,46;19120141,68;18349376,92;19611032,61;246568606,05
"52 Goiás";35048141,29;34843938,16;30932236,73;34406945,17;36101619,85;40606222,82;46229357,10;44889588,33;45529496,23;43037600,45;44147353,21;46127763,88;42742773,93;45592686,49;570235723,64
"53 Distrito Federal";20643441,06;22947163,99;21536505,16;19058243,91;22704335,27;25269773,34;26526196,39;20056592,11;20856249,30;20459325,27;22991567,76;23527050,29;22766952,62;31831917,45;321175313,92
"Total";1286460084,94;1286247393,68;1108698195,21;1195978013,75;1287808287,60;1484010417,62;1514160823,72;1477904466,14;1489983146,21;1464196395,75;1441199605,05;1513991196,49;1500612299,36;1687562138,38;19738812463,90
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
